county,cases_slope_week_1_3,cases_slope_week_4_6,deaths_slope_week_1_3,deaths_slope_week_4_6,population,population_density,metropolitan_status,nchs_urban_rural_status,major_teaching_start,hybrid_start,on_premises_start,online_only_start,other_start,unknown_start,major_teaching_end,mean_mobility
PUTNAM,-0.014656619740389827,0.06406374248875274,-0.12832998057554865,0.1483197640602753,34371,70.17,Non-metro,Noncore,On_Premises,0,0.8774730215827338,0,0,0.12252697841726619,Hybrid,0.05967510973809013
RICHLAND,0.11411164980314106,-0.03561605701438422,0.052842664622885886,-0.09369817511072003,122462,244.66,Metro,Small metro,Hybrid,0.5982091690544412,0.36332378223495704,0.03846704871060172,0,0,Hybrid,0.04361062607887263
ROSS,0.025076767977565414,7.049600150461048e-4,-0.018467706454733012,0.12583471087346473,78124,111.24,Non-metro,Micropolitan,Hybrid,0.6772185198176078,0.22062434233602246,0,0.10215713784636969,0,Hybrid,0.04718860961069765
SANDUSKY,0.04965888564206884,0.0050362142651744915,-0.00169632734080147,0.03557605416863724,59603,143.34,Non-metro,Micropolitan,Hybrid,0.4391084311403036,0.11747604177883063,0,0.44341552708086573,0,Hybrid,0.046764679238192684
SCIOTO,0.018883504239309425,0.004350752306860064,-0.03855020661126004,0.20868190484944105,77997,123.42,Non-metro,Micropolitan,Hybrid,0.8742243836994801,0,0.12577561630051987,0,0,Hybrid,0.05004284786650406
SENECA,0.028322431279354035,0.0617596203832006,0.05918484235509615,0.012004071283720788,56072,100.14,Non-metro,Micropolitan,Hybrid,0.9373589913735899,0.06264100862641009,0,0,0,Hybrid,0.049811100089657785
SHELBY,-0.006338398177082361,0.01187132322812062,-0.24726999426382096,-0.03091587395314758,49965,119.18,Non-metro,Micropolitan,Hybrid,0.7024106400665004,0.2975893599334996,0,0,0,Hybrid,0.05142787424462278
STARK,0.013954742881528245,0.006880327285662027,0.005382811221036201,-0.009336720351477291,380527,644.18,Metro,Medium metro,Hybrid,0.8429731355252607,0.033747661053194336,0,0.10799251537022186,0,Hybrid,0.048544546840598744
SUMMIT,0.014642875179435607,0.03361727746939223,0.006145963278490904,0.04205510024696894,546646,1310.63,Metro,Medium metro,Hybrid,0.5472267902526536,0.04069367618478098,0.3728359994020033,0,0,Hybrid,0.04850668007003826
TRUMBULL,0.06995865665547352,-0.01717846671745784,-0.01600465256252955,0.11693035122468706,202898,320.3,Metro,Medium metro,Hybrid,0.4275104825527681,0.08066235519863549,0.09516025868808187,0.0656669746286689,0.04836187904200128,Hybrid,0.04781286612889375
TUSCARAWAS,0.043806263531812585,0.009405061897910847,-0.02839794823211973,1.0671506352693765,94102,162.11,Non-metro,Micropolitan,Hybrid,0.5847490724467878,0,0.1445030267525874,0.2707479008006249,0,Hybrid,0.05453736979594147
UNION,0.0011707486651978695,-2.6851317430974183e-4,-0.29021196887691075,0.16783831621113549,56196,136.63,Metro,Large fringe metro,Hybrid,0.9357419980601358,0,0.06425800193986421,0,0,Hybrid,0.04666724339149578
VAN WERT,0.05832639100948,-0.07788927708958633,0.02724662953821821,-0.043817386127541685,28824,69.11,Non-metro,Micropolitan,On_Premises,0.36885069817400645,0.6311493018259936,0,0,0,On_Premises,0.0559046449680891
WARREN,-0.023004727397362885,0.04953596719260661,-0.03939895377943781,-0.016579334325601283,230546,584.77,Metro,Large fringe metro,Hybrid,0.9160929432013769,0,0.08390705679862306,0,0,Hybrid,0.05041369221594694
WASHINGTON,-0.005397331158294917,0.11436078172764826,0.1264669967857127,-0.15052681400243306,61549,94.8,Non-metro,Micropolitan,Hybrid,0.7579066265060241,0.12330572289156627,0.11878765060240964,0,0,Hybrid,0.04814557987231006
WAYNE,-0.0017663815377920058,0.12091442267574226,-0.06382189138073992,0.1528062450048224,117082,208.56,Non-metro,Micropolitan,Hybrid,0.5465382216369811,0.09626446739205766,0,0.35719731097096125,0,Hybrid,0.0514150862958265
WILLIAMS,0.0050821300031322425,-0.0269830783350058,0.3368944751044389,-0.31428912009984594,37663,87.22,Non-metro,Noncore,Hybrid,0.5396642527978933,0.3770572745227123,0,0.08327847267939434,0,On_Premises,0.048348078712558626
WOOD,0.021744979031134627,-0.016320148996849613,-0.05151480306048009,0.044500486218609386,131905,211.96,Metro,Medium metro,Hybrid,0.6273519079928781,0.1431114960781483,0,0.08421153938694,0.1453250565420336,Hybrid,0.04749840836101593
WYANDOT,0.07896978288309114,-0.0445301062213912,0.048038005727799524,-0.059820235897676065,22340,53.51,Non-metro,Noncore,Hybrid,1,0,0,0,0,Hybrid,0.05386918260913849
