"","posture_change","date","R.deaths","R.deaths.q2.5","R.deaths.q97.5","R.cases","R.cases.q2.5","R.cases.q97.5"
"2067","On_Premises_to_Online_Only","2020-08-04",12.3801583341537,4.54329991554666,24.0759664395833,1.67074342139949,1.38291849047681,1.98537313880994
"2068","On_Premises_to_Online_Only","2020-08-05",11.1118345918281,4.0778474555812,21.6094293379926,1.50066347534532,1.23675910017186,1.78970856868714
"2069","On_Premises_to_Online_Only","2020-08-06",9.94703836906649,3.65038777068342,19.344224482672,1.30509578514804,1.06635782960621,1.5675888903398
"2070","On_Premises_to_Online_Only","2020-08-07",10.3611224282051,4.16570859060204,19.3301155993258,1.12329229953026,0.907734519605738,1.36146949891446
"2071","On_Premises_to_Online_Only","2020-08-08",9.22886755460407,3.71048340757832,17.2177365838025,1.00940917234016,0.809575673074172,1.23095359299261
"2072","On_Premises_to_Online_Only","2020-08-09",9.37772914367957,4.04863783265908,16.9064928836582,0.854558458381959,0.674404171552862,1.05571633623656
"2073","On_Premises_to_Online_Only","2020-08-10",9.37039523330041,4.28474138388074,16.411923681168,0.844186564201882,0.667294447478089,1.04156158761208
"2074","On_Premises_to_Online_Only","2020-08-11",10.1705947366372,5.07712424809543,17.0037143968936,0.818700703144157,0.646105791871871,1.01141788290781
"2075","On_Premises_to_Online_Only","2020-08-12",8.2165259098678,3.94014354696593,14.0377730223585,0.788502053585733,0.62020688457671,0.976693560130921
"2076","On_Premises_to_Online_Only","2020-08-13",7.31154826648369,3.50617159083226,12.4916365058438,0.804983459791971,0.635280357932061,0.994471683671245
"2077","On_Premises_to_Online_Only","2020-08-14",7.16952218537848,3.57899964330687,11.9863696036596,0.804226383026046,0.634682884787751,0.993536395626604
"2078","On_Premises_to_Online_Only","2020-08-15",6.98607844786327,3.60980867761681,11.4583554223161,0.785553312625813,0.617887512755344,0.973041044207911
"2079","On_Premises_to_Online_Only","2020-08-16",6.25353574998189,3.23129317607019,10.2568609562878,0.790191211135401,0.621535514142954,0.978785868316175
"2080","On_Premises_to_Online_Only","2020-08-17",4.67568490989515,2.24217265635882,7.98831576863253,0.775562754671421,0.607917395650244,0.963313579088678
"2081","On_Premises_to_Online_Only","2020-08-18",4.62618998057846,2.30937737024187,7.73429826007756,0.751410491125741,0.585761341043056,0.937372952571442
"2082","On_Premises_to_Online_Only","2020-08-19",4.55168202395133,2.35192052171092,7.46553174130953,0.738782778884192,0.573693735424403,0.92443054327438
"2083","On_Premises_to_Online_Only","2020-08-20",4.46056836543403,2.37506479295453,7.19235255040409,0.737861726425864,0.571832703121055,0.924729971072687
"2084","On_Premises_to_Online_Only","2020-08-21",3.73707835601275,1.93100291946977,6.12944334418918,0.760112143833205,0.590256821897955,0.951119736621974
"2085","On_Premises_to_Online_Only","2020-08-22",3.97177997300029,2.17140907043938,6.30673152140077,0.806367219559975,0.629779488536038,1.00444722515749
"2086","On_Premises_to_Online_Only","2020-08-23",3.63263097680557,1.98599315828568,5.76820177421114,0.91205798570415,0.722084896323615,1.12388091356292
"2087","On_Premises_to_Online_Only","2020-08-24",3.33636925493295,1.82402411808927,5.29777210473802,0.903309714642531,0.71287790060918,1.11594334252445
"2088","On_Premises_to_Online_Only","2020-08-25",2.63775074490036,1.36296430098689,4.32635931246832,0.928875128992461,0.734237243592204,1.14605076066502
"2089","On_Premises_to_Online_Only","2020-08-26",2.23971538425072,1.11805785017165,3.74446939537776,0.941688985977991,0.744366065797881,1.16186056123666
"2090","On_Premises_to_Online_Only","2020-08-27",2.08321859959287,1.039935219125,3.48283015998786,0.928834341549445,0.731815816946192,1.14898212849074
"2091","On_Premises_to_Online_Only","2020-08-28",1.59172208134937,0.727836692454251,2.78784626158557,0.92660045284043,0.728830036003257,1.14775185554446
"2092","On_Premises_to_Online_Only","2020-08-29",1.32648531756473,0.572682208973691,2.3914333884126,0.910631341278195,0.713789606389575,1.13108002068597
"2093","On_Premises_to_Online_Only","2020-08-30",1.24850995775857,0.539017983137184,2.25085672582558,0.906035403598712,0.708916902737105,1.12696759535315
"2094","On_Premises_to_Online_Only","2020-08-31",1.17982635867908,0.509365280072729,2.12703156930098,0.951465126699938,0.748387679309692,1.17855097232913
"2095","On_Premises_to_Online_Only","2020-09-01",0.979622996827688,0.39385925238443,1.82762301127616,0.996945192861694,0.788043804352102,1.23003594450827
"2096","On_Premises_to_Online_Only","2020-09-02",0.800285452234958,0.293690656404747,1.5563327358214,1.04214261880637,0.827611668040875,1.28102390039585
"2097","On_Premises_to_Online_Only","2020-09-03",0.638550546040051,0.207335624179742,1.30795440819933,1.07365036220119,0.855156520426121,1.31662676745648
"2098","On_Premises_to_Online_Only","2020-09-04",0.61435189480867,0.199478387993068,1.25838788171706,1.0388999597045,0.823783056142923,1.27859458394481
"2099","On_Premises_to_Online_Only","2020-09-05",0.356417029736061,0.0735017601409846,0.858333906433642,1.00247747175019,0.791139543707974,1.23845458816202
"2100","On_Premises_to_Online_Only","2020-09-06",0.230933993157814,0.0279671779370156,0.643340928360433,0.912786327629568,0.711561722484109,1.13868680980898
"2101","On_Premises_to_Online_Only","2020-09-07",0.225625173813356,0.0273242552853448,0.628551504253311,0.88795586344522,0.689532472537158,1.11108913839072
"2102","On_Premises_to_Online_Only","2020-09-08",0.221618203733556,0.026838992619257,0.617388800071909,0.824251703861035,0.633377640784561,1.0398812074763
"2103","On_Premises_to_Online_Only","2020-09-09",0.218865775216593,0.0265056607565883,0.609721024994125,0.787410394390841,0.600877083949181,0.99877367208829
"2104","On_Premises_to_Online_Only","2020-09-10",0.217340588465324,0.0263209535652534,0.605472126652796,0.777937238415559,0.592201869806612,0.988619120933347
"2105","On_Premises_to_Online_Only","2020-09-11",0.21703404658812,0.0262838299217928,0.604618155640711,0.756512394081527,0.572975099508113,0.965159282254422
"2106","On_Premises_to_Online_Only","2020-09-12",0.217954131509485,0.0263952564742944,0.607181348176324,0.749566361126333,0.566214373800976,0.958241084803497
"2107","On_Premises_to_Online_Only","2020-09-13",0.440246782138281,0.119952430925731,0.964940939270417,0.730306926332284,0.548629039913789,0.937569451109175
"2108","On_Premises_to_Online_Only","2020-09-14",0.447154885058682,0.121834656468329,0.980082245444677,0.698142270055667,0.519812776207594,0.902366223496273
"2109","On_Premises_to_Online_Only","2020-09-15",0.456725795120889,0.124442407336052,1.00105994095501,0.666267689085715,0.491253197975945,0.867536557926168
"2110","On_Premises_to_Online_Only","2020-09-16",0.469065192580831,0.127804477841803,1.02810565771685,0.648632994034242,0.474880873646351,0.849054109868357
"2111","On_Premises_to_Online_Only","2020-09-17",0.60534862630819,0.196555051217645,1.23994632717383,0.631451020268021,0.45881327799422,0.831229462636883
"2112","On_Premises_to_Online_Only","2020-09-18",0.628075943134745,0.20393454912801,1.28649909330046,0.658487408937119,0.4803052345935,0.864344419941263
"2113","On_Premises_to_Online_Only","2020-09-19",0.65459925858858,0.212546597460034,1.34082727073769,0.657553740935099,0.477779554790711,0.865590560769636
"2114","On_Premises_to_Online_Only","2020-09-20",0.684950341565673,0.222401511487767,1.40299593227858,0.641849135527246,0.462588400640049,0.850008903067046
"2115","On_Premises_to_Online_Only","2020-09-21",0.575263218326257,0.156739865593657,1.26087243051127,0.641440228796088,0.46030858270368,0.852155643190031
"2116","On_Premises_to_Online_Only","2020-09-22",0.605458696666178,0.164967117164348,1.32705543153067,0.673335838704282,0.485281246758987,0.89170714109104
"2117","On_Premises_to_Online_Only","2020-09-23",0.638307268766708,0.173917247490707,1.39905353191978,0.706890324883226,0.511580033175589,0.933289192621683
"2118","On_Premises_to_Online_Only","2020-09-24",0.673450687319436,0.183492646238576,1.47608151868379,0.657583460668705,0.467606123355896,0.879441479573782
"2119","On_Premises_to_Online_Only","2020-09-25",0.71041690532929,0.193564696489291,1.55710475059579,0.674553725254348,0.479673640423838,0.902137236825309
"2120","On_Premises_to_Online_Only","2020-09-26",0.935797492498411,0.303850898595623,1.91681060032858,0.692047468690769,0.492113402127956,0.925533086221165
"2121","On_Premises_to_Online_Only","2020-09-27",0.590609496848835,0.121797877072591,1.42232304944148,0.709974222160816,0.50486107629537,0.949508036229214
"2122","On_Premises_to_Online_Only","2020-09-28",0.619705315931854,0.127798134459083,1.49239245121195,0.765543995795479,0.549367588564439,1.01702794249711
"2123","On_Premises_to_Online_Only","2020-09-29",0.648267870883467,0.133688419961495,1.56117763071782,0.784721296501386,0.563129550648711,1.0425050552257
"2124","On_Premises_to_Online_Only","2020-09-30",0.675841228104927,0.139374709110682,1.62758059534303,0.882002391423649,0.643338596570215,1.157734886127
"2125","On_Premises_to_Online_Only","2020-10-01",0.702059738107639,0.144781596191528,1.69072077730392,0.981978906873424,0.726473401175579,1.27539092127382
"2126","On_Premises_to_Online_Only","2020-10-02",0.726688241289343,0.149860585640583,1.75003185837438,0.981178157972408,0.723443318329793,1.27757646937343
"2127","On_Premises_to_Online_Only","2020-10-03",0.749642536987681,0.154594313257004,1.80531106405873,1.06032448216158,0.789481222372257,1.37049572800182
"2128","On_Premises_to_Online_Only","2020-10-04",0.77098608456728,0.158995865887402,1.85671121905334,1.18043371528185,0.891686942711165,1.50905929419058
"2129","On_Premises_to_Online_Only","2020-10-05",0.790906151324332,0.163103862550338,1.90468330593331,1.2561835227687,0.956265099892924,1.59638462935638
"2130","On_Premises_to_Online_Only","2020-10-06",0.80967713184712,0.166974890006626,1.94988812976466,1.41326074909254,1.09301576096474,1.77402415917931
"2131","On_Premises_to_Online_Only","2020-10-07",1.10349312762653,0.300664737458692,2.41865639512145,1.52140301569106,1.1882283776391,1.89512792731212
"2132","On_Premises_to_Online_Only","2020-10-08",1.1267517185338,0.307001920675985,2.46963499954681,1.72717974924476,1.37163003170918,2.12308612960904
