"county","leaid","district_enroll","county_enroll","schnam","gslo","gshi","openenroll","level","multibdy","enrollment","districtname","control","physicalcity","physicalstate","enrollment_1","date","teachingmethod","sportsparticipation","onlineinstructionincrease","networkinvestment","hardwareinvestment","staffmaskpolicy","studentmaskpolicy","studentillnessreturnpolicy","studentisolationarea","schooltemporaryshutdown","parentoptoutclassroomteachin_55","lastverifieddate","opendategrouped"
"ALLEN",3904422,4223,16319,"Lima North Middle School","5","8",0,"2",0,365,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Lima South Science-Technology Magnet K-8","KG","8",0,"1",0,170,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Lima West Middle School","7","8",0,"2",0,428,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Unity Elementary School","PK","4",0,"1",0,204,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Freedom Elementary School","PK","4",0,"1",0,225,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Heritage Elementary School","PK","4",0,"1",0,433,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Independence Elementary School","PK","5",0,"1",0,337,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Liberty Arts Magnet K-8","KG","8",0,"1",0,415,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904422,4223,16319,"Lima Senior High School","9","12",0,"3",0,1048,"Lima City School District","Public","Lima","OH",4223,"2020-08-12","On Premises","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Unknown","Yes","Never closed","Yes","2020-10-02","2020-08-18"
"ALLEN",3904521,1220,16319,"Bluffton Middle School","6","8",0,"2",0,258,"Bluffton Exempted Village School Dist","Public","Bluffton","OH",1220,"2020-08-31","Hybrid","Yes","Pending","Pending","Pending","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-10-14","2020-09-02"
"ALLEN",3904521,1220,16319,"Bluffton Elementary School","KG","5",0,"1",0,576,"Bluffton Exempted Village School Dist","Public","Bluffton","OH",1220,"2020-08-31","Hybrid","Yes","Pending","Pending","Pending","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-10-14","2020-09-02"
"ALLEN",3904521,1220,16319,"Bluffton High School","9","12",0,"3",0,319,"Bluffton Exempted Village School Dist","Public","Bluffton","OH",1220,"2020-08-31","Hybrid","Yes","Pending","Pending","Pending","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-10-14","2020-09-02"
"ALLEN",3904575,1200,16319,"Allen East High School","7","12",0,"3",0,318,"Allen East Local School District","Public","Harrod","OH",1200,"2020-08-31","Hybrid","Yes","Unknown","Yes","Yes","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-10-13","2020-09-02"
"ALLEN",3904575,1200,16319,"Allen East Elementary School","KG","6",0,"1",0,491,"Allen East Local School District","Public","Harrod","OH",1200,"2020-08-31","Hybrid","Yes","Unknown","Yes","Yes","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-10-13","2020-09-02"
"ALLEN",3904576,1776,16319,"Bath Elementary School","KG","5",0,"1",0,862,"Bath Local School District","Public","Lima","OH",1766,"2020-09-08","Hybrid","Yes","Unknown","Yes","Yes","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-11-05","2020-09-09"
"ALLEN",3904576,1776,16319,"Bath High School","9","12",0,"3",0,476,"Bath Local School District","Public","Lima","OH",1766,"2020-09-08","Hybrid","Yes","Unknown","Yes","Yes","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-11-05","2020-09-09"
"ALLEN",3904576,1776,16319,"Bath Middle School","6","8",0,"2",0,438,"Bath Local School District","Public","Lima","OH",1766,"2020-09-08","Hybrid","Yes","Unknown","Yes","Yes","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-11-05","2020-09-09"
"ALLEN",3904577,2560,16319,"Elida High School","9","12",0,"3",0,685,"Elida Local School District","Public","Elida","OH",2560,"2020-11-08","On Premises","Yes","Unknown","Unknown","Yes","Required for all staff","Required for all students","Yes","Yes","Closed indefinitely","Yes","2021-01-13","2020-12-09"
