"","nchs_urban_rural_status","date","R.deaths","R.deaths.q2.5","R.deaths.q97.5","R.cases","R.cases.q2.5","R.cases.q97.5"
"1429","Large fringe metro","2020-11-28",2.76732456856109,2.46000622367712,3.09246902107702,1.62963556215984,1.60997859916083,1.64941014831645
"1430","Large fringe metro","2020-11-29",2.79150019604484,2.4893695251137,3.11068482622751,1.55784504722306,1.53903974152233,1.57676296604864
"1431","Large fringe metro","2020-11-30",2.69389485506286,2.40368875876574,3.00040091078318,1.49653610436791,1.47848152479456,1.51469873735541
"1432","Large fringe metro","2020-12-01",2.72893906417602,2.44325642980395,3.03018894129875,1.45179795850011,1.43435718354159,1.4693426692839
"1433","Large fringe metro","2020-12-02",2.55754868928921,2.2874244052728,2.84253097892648,1.41348681845412,1.39658664726235,1.43048722433256
"1434","Large fringe metro","2020-12-03",2.53726253283837,2.27432670474079,2.81437337825081,1.38149036084034,1.36506142348565,1.39801621181005
"1435","Large fringe metro","2020-12-04",2.42712826354199,2.17596562354603,2.69181075661148,1.34831459189149,1.33233555081629,1.36438756527909
"1436","Large fringe metro","2020-12-05",2.3964827260637,2.15264017165435,2.65321943702764,1.31529726129852,1.29974170680376,1.33094406867841
"1437","Large fringe metro","2020-12-06",2.34427465518538,2.10865683064997,2.59219133825904,1.27629165459368,1.26117226338723,1.29149988864725
"1438","Large fringe metro","2020-12-07",2.31107681213208,2.08246408587691,2.55142423465149,1.24331070723965,1.22857094452893,1.25813714757999
"1439","Large fringe metro","2020-12-08",2.27120940527693,2.04969819128618,2.50392259587255,1.21458119530348,1.20017674165495,1.22907038606927
"1440","Large fringe metro","2020-12-09",2.25995309691265,2.04388065724801,2.48672621718438,1.17902517138289,1.16497933108512,1.19315401407205
"1441","Large fringe metro","2020-12-10",2.28483442257979,2.07225753627882,2.50764166107942,1.1654858365302,1.15165118224897,1.17940194972066
"1442","Large fringe metro","2020-12-11",2.25885473948854,2.05200703812023,2.47549250315718,1.16258314769445,1.14888213403743,1.1763642501701
"1443","Large fringe metro","2020-12-12",2.22828033711011,2.0271309432449,2.43880833005806,1.16321493587562,1.14961478111942,1.17689395813683
"1444","Large fringe metro","2020-12-13",2.18446538167279,1.98937588220759,2.38854922532711,1.15516402130059,1.14170570221796,1.16870010811393
"1445","Large fringe metro","2020-12-14",2.13375611285602,1.94479308331067,2.33135453834805,1.1455646064194,1.13224876176074,1.15895721789037
"1446","Large fringe metro","2020-12-15",2.04203157421476,1.86081293588918,2.23154985874226,1.13446358491213,1.1212918678431,1.14771115048243
"1447","Large fringe metro","2020-12-16",1.99834335540777,1.82247003331832,2.18220169634026,1.1195419804042,1.10653045396353,1.13262850859774
"1448","Large fringe metro","2020-12-17",1.94466794356429,1.77439362324515,2.12263170555278,1.11074031281541,1.09784766467838,1.12370718143887
"1449","Large fringe metro","2020-12-18",1.92122819747813,1.75502775748449,2.09483975875784,1.09537973929911,1.08263891797847,1.10819406063735
"1450","Large fringe metro","2020-12-19",1.83049938749601,1.67119343478615,1.99695381717098,1.07601528808926,1.06344474995219,1.0886586641641
"1451","Large fringe metro","2020-12-20",1.76696059659844,1.61318434124173,1.92763719686066,1.05964110745464,1.0472184063019,1.07213604407548
"1452","Large fringe metro","2020-12-21",1.72800951965657,1.5785239234858,1.8841608977217,1.03202994128348,1.0198164583311,1.04431511908812
"1453","Large fringe metro","2020-12-22",1.67733547961897,1.53252152512223,1.82859349645885,1.00739672448151,0.995370082478571,1.01949458811683
"1454","Large fringe metro","2020-12-23",1.58333376446324,1.44497963325726,1.72792255220326,0.982093247606861,0.970252230545112,0.994005087720303
"1455","Large fringe metro","2020-12-24",1.47582360081592,1.3444389523617,1.61324545629331,0.960948760937775,0.949262450382119,0.972705577567458
"1456","Large fringe metro","2020-12-25",1.41806357727228,1.2912849857734,1.55069363949612,0.932620237179869,0.921126752763434,0.944183997380808
"1457","Large fringe metro","2020-12-26",1.34585784009457,1.22423371818904,1.4731591509626,0.920643063128252,0.909235034130381,0.932121229850851
"1458","Large fringe metro","2020-12-27",1.31305027018806,1.19464810110413,1.43696667874076,0.905444308141253,0.894134699825358,0.916824009772947
"1459","Large fringe metro","2020-12-28",1.29673470179748,1.1806797062097,1.41815220011248,0.888430682061361,0.877224395792924,0.899707108965885
"1460","Large fringe metro","2020-12-29",1.2434323061566,1.13130782356776,1.36077866307503,0.882711901324535,0.871530966170885,0.893963114345305
"1461","Large fringe metro","2020-12-30",1.22333820363401,1.11350017989673,1.33826855763975,0.89079034380235,0.879540497272064,0.902110690617471
"1462","Large fringe metro","2020-12-31",1.18959397795064,1.08255573904595,1.30160594074337,0.890455665270725,0.879184432228719,0.901797694514893
"1463","Large fringe metro","2021-01-01",1.13297021537497,1.02968222692397,1.24112405858536,0.887948950652236,0.876665456944264,0.899303596720736
"1464","Large fringe metro","2021-01-02",1.1002248847936,0.999475162188903,1.20574307257589,0.89490066431821,0.883540801728392,0.906332084968213
"1465","Large fringe metro","2021-01-03",1.07266704098715,0.974110121811862,1.17590511817682,0.897638786375571,0.886226384107605,0.909123190559805
"1466","Large fringe metro","2021-01-04",1.02569987059812,0.930160367456406,1.12584282865495,0.903244194371427,0.891758829125614,0.91480203263931
"1467","Large fringe metro","2021-01-05",0.957745961723562,0.866176580566372,1.05385018639283,0.915032150098341,0.903433077481369,0.92670418418085
