SrcName,ncessch,schnam,leaid,gslo,gshi,STUSAB,openEnroll,level,MultiBdy,EXACT_CITY,COUNTY,LEVEL_,ENROLLMENT,SchoolYear,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment_1,DATE,ending_teachingmethod,starting_teachingmethod,ending_staffmaskpolicy,ending_studentmaskpolicy,ending_lastverifieddate,District_nces,OpenDateGrouped,starting_staffmaskpolicy,starting_studentmaskpolicy,starting_lastverifieddate
NA,3.90E+11,Amanda-Clearcreek High School,3904684,9,12,OH,0,3,0,AMANDA,FAIRFIELD,HIGH,450,2020-2021,Amanda-Clearcreek Local School District,Public,Amanda,OH,1596,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904684,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Amanda-Clearcreek Primary School,3904684,PK,2,OH,0,1,0,AMANDA,FAIRFIELD,ELEMENTARY,296,2020-2021,Amanda-Clearcreek Local School District,Public,Amanda,OH,1596,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904684,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Josiah Harris Elementary School,3904519,3,4,OH,0,1,0,AMHERST,LORAIN,NOT REPORTED,-999,2020-2021,Amherst Exempted Village School District,Public,Amherst,OH,3540,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/29/20,3904519,9/2/20,Required for all staff,Required for all students,10/29/20
NA,3.90E+11,Marion L Steele High School,3904519,9,12,OH,0,3,0,AMHERST,LORAIN,HIGH,1239,2020-2021,Amherst Exempted Village School District,Public,Amherst,OH,3540,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/29/20,3904519,9/2/20,Required for all staff,Required for all students,10/29/20
NA,3.90E+11,Powers Elementary School,3904519,PK,2,OH,0,1,0,AMHERST,LORAIN,ELEMENTARY,749,2020-2021,Amherst Exempted Village School District,Public,Amherst,OH,3540,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/29/20,3904519,9/2/20,Required for all staff,Required for all students,10/29/20
NA,3.90E+11,Walter G. Nord Middle School,3904519,5,6,OH,0,2,0,AMHERST,LORAIN,ELEMENTARY,788,2020-2021,Amherst Exempted Village School District,Public,Amherst,OH,3540,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/29/20,3904519,9/2/20,Required for all staff,Required for all students,10/29/20
NA,3.90E+11,Amherst Junior High School,3904519,5,8,OH,0,2,0,AMHERST,LORAIN,MIDDLE,849,2020-2021,Amherst Exempted Village School District,Public,Amherst,OH,3540,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/29/20,3904519,9/2/20,Required for all staff,Required for all students,10/29/20
NA,3.91E+11,Anna Elementary School,3910004,KG,5,OH,0,1,0,ANNA,SHELBY,ELEMENTARY,506,2020-2021,Anna Local School District,Public,Anna,OH,1202,8/25/20,Hybrid,Hybrid,Required for all staff,Required for all students,11/13/20,3910004,8/26/20,Pending,Pending,10/12/20
NA,3.91E+11,Anna High School,3910004,9,12,OH,0,3,0,ANNA,SHELBY,HIGH,386,2020-2021,Anna Local School District,Public,Anna,OH,1202,8/25/20,Hybrid,Hybrid,Required for all staff,Required for all students,11/13/20,3910004,8/26/20,Pending,Pending,10/12/20
NA,3.91E+11,Anna Middle School,3910004,6,8,OH,0,2,0,ANNA,SHELBY,MIDDLE,274,2020-2021,Anna Local School District,Public,Anna,OH,1202,8/25/20,Hybrid,Hybrid,Required for all staff,Required for all students,11/13/20,3910004,8/26/20,Pending,Pending,10/12/20
NA,3.90E+11,Ansonia Elementary School,3904662,PK,6,OH,0,1,0,ANSONIA,DARKE,ELEMENTARY,470,2020-2021,Ansonia Local School District,Public,Ansonia,OH,705,9/8/20,Hybrid,Online Only,Not required,Required for all students,10/1/20,3904662,9/9/20,Not required,Required for all students,9/24/20
NA,3.90E+11,Ansonia High School,3904662,9,12,OH,0,3,0,ANSONIA,DARKE,HIGH,193,2020-2021,Ansonia Local School District,Public,Ansonia,OH,705,9/8/20,Hybrid,Online Only,Not required,Required for all students,10/1/20,3904662,9/9/20,Not required,Required for all students,9/24/20
NA,3.90E+11,Ansonia Middle School,3904662,7,8,OH,0,2,0,ANSONIA,DARKE,MIDDLE,110,2020-2021,Ansonia Local School District,Public,Ansonia,OH,705,9/8/20,Hybrid,Online Only,Not required,Required for all students,10/1/20,3904662,9/9/20,Not required,Required for all students,9/24/20
NA,3.90E+11,Anthony Wayne Junior High School,3904820,7,8,OH,0,2,0,WHITEHOUSE,LUCAS,MIDDLE,702,2020-2021,Anthony Wayne Local School District,Public,Whitehouse,OH,4442,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,9/15/20,3904820,9/2/20,Required for all staff,Required for all students,9/15/20
