"","geo_value","time_value","part_work_prop_7d","part_work_sample_size","full_work_prop_7d","full_work_sample_size","full_work_std","res_visit_by_pop","bar_visit_by_pop"
"15721","39113",2020-07-18,0.0665697412786934,2912,0.0393085583683523,2912,0.000528813747835353,502.507245799274,56.4917127692242
"15722","39115",2020-07-18,0.0756882823885386,105,0.0486779479398894,105,0.00340107984275905,195.045835771406,143.472022955524
"15723","39117",2020-07-18,0.07720972827173,161,0.0399144687115261,161,0.00210100277114106,73.7007681362564,NA
"15724","39119",2020-07-18,0.0776902493353646,525,0.0390363678253453,525,0.00121228014781303,645.224867085211,NA
"15725","39121",2020-07-18,0.0812018962485799,84,0.0406973732433453,84,0.00330571497506816,NA,143.472022955524
"15726","39123",2020-07-18,0.0825341261708232,301,0.0396690299665596,301,0.00174226645192236,88.2746312358377,NA
"15727","39125",2020-07-18,0.076166479452111,119,0.0392813163456251,119,0.00247500939150632,173.789365275386,NA
"15728","39127",2020-07-18,0.07184417099579,196,0.0430243202659575,196,0.00220529976063132,369.346843676804,NA
"15729","39129",2020-07-18,0.0781631831933878,252,0.0416898796500031,252,0.00190074312025265,296.839757642859,NA
"15730","39131",2020-07-18,0.0737636739962607,154,0.0334655800763417,154,0.00174791406259286,276.058121227094,NA
"15731","39133",2020-07-18,0.0705383719374503,699,0.0408479436673381,699,0.00116189666409128,258.466044101643,NA
"15732","39135",2020-07-18,0.080580153477334,238,0.0367864956436646,238,0.00181770844991897,454.014931778329,NA
"15733","39137",2020-07-18,0.0849536345731994,189,0.0403286654528832,189,0.0022212714090594,96.4599209028649,NA
"15734","39139",2020-07-18,0.0703164232609328,665,0.0363299366599021,665,0.00104700604241745,436.714118049102,NA
"15735","39141",2020-07-18,0.0762444052118763,434,0.0397138722802861,434,0.0013218728320638,974.53421030308,NA
"15736","39143",2020-07-18,0.072686883347988,413,0.0375827229581233,413,0.00129206260223635,363.129389201785,NA
"15737","39145",2020-07-18,0.0791309592219093,511,0.0410890872383022,511,0.00124036941693091,305.263166443071,NA
"15738","39147",2020-07-18,0.07955699623592,399,0.040313386813654,399,0.00152108009627632,107.271061856544,NA
"15739","39149",2020-07-18,0.0836219345382224,273,0.0340945361174861,273,0.00151292083510482,409.590372000822,NA
"15740","39151",2020-07-18,0.0716492049149941,1932,0.0390382613556364,1932,0.000646321353788551,422.8980742483,16.9606512890095
"15741","39153",2020-07-18,0.0676716751038062,3156,0.0404301931775448,3156,0.000553469064645632,228.217074286792,23.6926721949568
"15742","39155",2020-07-18,0.0682075867038699,1351,0.0414606592253534,1351,0.000817376845470615,247.080716426592,NA
"15743","39157",2020-07-18,0.0823460334700082,539,0.040408283957728,539,0.00130653417066681,503.139390877699,NA
"15744","39159",2020-07-18,0.0761660005957655,203,0.0345731813528248,203,0.00145171799813885,576.598455261861,NA
"15745","39161",2020-07-18,0.0834083612278406,196,0.0391178947338775,196,0.00206763596284746,42.0237763200174,NA
"15746","39163",2020-07-18,0.0733709117265035,84,0.0418353555398239,84,0.00308788297951925,34.7673456310652,NA
"15747","39165",2020-07-18,0.0754069047595406,755,0.0373227685510239,755,0.000937907244444117,560.204405930552,7.16319550151322
"15748","39167",2020-07-18,0.0732139847370234,329,0.0415255385376036,329,0.00152283111036955,300.587511955185,70.5140100204119
"15749","39169",2020-07-18,0.0777696391133282,581,0.039567304319175,581,0.00117172759797858,308.628463835967,NA
"15750","39171",2020-07-18,0.0734495530134196,252,0.0362045542773004,252,0.00165233999048563,55.4997608940309,NA
"15751","39173",2020-07-18,0.0756026817015341,615,0.0387212427325513,615,0.00111571408326991,259.949454362765,57.0347134005652
"15752","39175",2020-07-18,0.0811878280327865,154,0.0411161554485233,154,0.00267144929542861,NA,NA
"15753","39001",2020-07-19,0.0717539181974044,154,0.0387543160800782,154,0.00221917898242071,154.644855183884,NA
"15754","39003",2020-07-19,0.0713374712819035,643,0.0390151819228315,643,0.00118229710110135,482.724516605137,NA
"15755","39005",2020-07-19,0.0781183181949897,308,0.0392041232980867,308,0.00149090937492567,304.57986567592,NA
"15756","39007",2020-07-19,0.0658903331675382,651,0.0422735613305839,651,0.00125461717773563,117.752737240838,NA
"15757","39009",2020-07-19,0.0623929932998682,329,0.0396818937032485,329,0.00154956688460574,156.876416245424,NA
"15758","39011",2020-07-19,0.0746464591850398,287,0.0338305144867631,287,0.00140872838095228,191.440812357998,NA
"15759","39013",2020-07-19,0.0724755137051648,476,0.0414323821531048,476,0.00136041627547277,670.007469355613,NA
"15760","39015",2020-07-19,0.0813134253451356,224,0.0374112610323095,224,0.00188305200362326,365.785778300866,NA
"15761","39017",2020-07-19,0.073389426436927,1861,0.0400775334479881,1861,0.000668556526049442,513.02906442827,15.8770749386482
"15762","39019",2020-07-19,0.0751574426309399,175,0.0381415612455586,175,0.0021422542224691,0,NA
"15763","39021",2020-07-19,0.0760722551140091,238,0.0357252992022071,238,0.00179481257813544,10.4583025537242,NA
"15764","39023",2020-07-19,0.0692867296058802,952,0.0403903451846921,952,0.00100098053152332,475.797788406994,NA
"15765","39025",2020-07-19,0.0784915739107416,819,0.0398947800251342,819,0.00102438088445744,594.195893389899,NA
"15766","39027",2020-07-19,0.0768493243660937,224,0.0404617842173587,224,0.0019230076346837,343.162655323526,NA
"15767","39029",2020-07-19,0.0741221911695689,658,0.0407255251330635,658,0.00118295120668602,94.8308143192584,NA
"15768","39031",2020-07-19,0.0691223537198014,231,0.0370207742313896,231,0.00184259031834307,202.27452767843,NA
"15769","39033",2020-07-19,0.0725038113409473,336,0.0410484964610896,336,0.00171711330777136,105.725923861098,NA
"15770","39035",2020-07-19,0.0656854796302459,8090,0.0493832392931629,8090,0.000423342754476571,193.984361744021,55.1426240996243
"15771","39037",2020-07-19,0.0816281050324123,364,0.0389397479204135,364,0.00143417306280386,263.243471166791,NA
"15772","39039",2020-07-19,0.0768453835761908,252,0.0383426576985408,252,0.0018037445726887,407.718279559219,NA
"15773","39041",2020-07-19,0.0710084293311723,616,0.0321309427294472,616,0.000920869261472832,528.749527539065,288.115246098439
"15774","39043",2020-07-19,0.0729199644521474,483,0.0394152610689231,483,0.00128549665157509,1077.94365302101,NA
"15775","39045",2020-07-19,0.0761379320394445,657,0.0362113785362509,657,0.00109785622982205,571.066829522706,20.8717431384144
"15776","39047",2020-07-19,0.075275276109719,182,0.0345569462146486,182,0.00185834884269544,642.586579379662,NA
"15777","39049",2020-07-19,0.0599182150350979,6188,0.0371371950332116,6188,0.0003556055118203,274.169562080101,19.8425193864886
"15778","39051",2020-07-19,0.084779649415756,217,0.0436723088249278,217,0.0020357759960497,107.955825965861,NA
"15779","39053",2020-07-19,0.0841138647153554,175,0.0456222602023627,175,0.00240482539505072,432.367507881341,NA
"15780","39055",2020-07-19,0.0758508672640481,448,0.0482056283854648,448,0.00198282631390096,68.38673468764,8.3002705888212
"15781","39057",2020-07-19,0.0737753284552874,777,0.0400088387027521,777,0.00109354937673803,594.462158528992,7.45990302126072
"15782","39059",2020-07-19,0.073054907126128,245,0.0369522259171745,245,0.00172194260802818,565.092762472483,NA
"15783","39061",2020-07-19,0.0664567604986266,4856,0.0415679794233625,4856,0.000450862652194087,424.13980948583,123.064965347497
"15784","39063",2020-07-19,0.0768526804373706,434,0.0378304973044514,434,0.00124192099085116,680.400997191581,NA
"15785","39065",2020-07-19,0.0708119186024105,196,0.0386314716819407,196,0.00260001898614785,96.6066900132834,NA
"15786","39067",2020-07-19,0.0695645159199018,119,0.0409129441489832,119,0.00301155282434207,1730.08211621639,NA
"15787","39069",2020-07-19,0.0857757386156667,189,0.0416156792255216,189,0.00198621885233809,7.67591594050744,NA
"15788","39071",2020-07-19,0.0767789967523185,245,0.0375808241487765,245,0.00174472529103242,291.513023354202,NA
"15789","39073",2020-07-19,0.0679220023029007,161,0.042934254264851,161,0.00252485618979442,205.339125843911,NA
"15790","39075",2020-07-19,0.087287361668196,161,0.0404987059263985,161,0.00192607986973518,43.4529225534225,NA
"15791","39077",2020-07-19,0.0706486376776485,336,0.0338257463106805,336,0.00127031695441626,76.0685137514833,NA
"15792","39079",2020-07-19,0.0756743070311172,210,0.0387608725314206,210,0.00188251441337691,153.079003189075,NA
"15793","39081",2020-07-19,0.0660096264557117,469,0.0404253026821289,469,0.00137635640581166,470.760539805419,NA
"15794","39083",2020-07-19,0.0734287427042638,322,0.0366769280692934,322,0.00153824960481202,324.035465529235,NA
"15795","39085",2020-07-19,0.0735029440205274,1078,0.0425287014939646,1078,0.000998107176978314,188.584941546703,8.3002705888212
"15796","39087",2020-07-19,0.0751706394327165,399,0.0469447597694071,399,0.00166512160206226,180.558267098097,NA
"15797","39089",2020-07-19,0.073555787432459,784,0.0367210524750754,784,0.000872750996145992,362.144191280127,20.8717431384144
"15798","39091",2020-07-19,0.0858938471357863,273,0.0350771035285642,273,0.00145622872755086,406.555102264385,NA
"15799","39093",2020-07-19,0.0647320429206857,1408,0.038603986932778,1408,0.00073052547975566,182.019991509108,NA
"15800","39095",2020-07-19,0.0709720229324667,2779,0.0446720460527459,2779,0.000661657075852385,249.217585952699,100.047848971247
"15801","39097",2020-07-19,0.0771822092845579,196,0.0393299348037677,196,0.00205229586591376,195.85823244753,21.2647626525338
"15802","39099",2020-07-19,0.0726063940772417,1512,0.0453329833343855,1512,0.000901282966838524,461.039470494221,NA
"15803","39101",2020-07-19,0.0667299280654064,392,0.0344409952702882,392,0.00115721565423316,240.550468980178,NA
"15804","39103",2020-07-19,0.0707355094308902,770,0.0389123065630335,770,0.000951774631485482,193.493664801724,NA
"15805","39105",2020-07-19,0.0787475630453432,161,0.0430786385544537,161,0.00245254923566625,197.031393668725,NA
"15806","39107",2020-07-19,0.0879126661512721,231,0.0374453944704003,231,0.00171179499068026,183.448668570347,NA
"15807","39109",2020-07-19,0.078893220617295,602,0.0387279134165463,602,0.0011025940241548,556.589993994304,NA
"15808","39111",2020-07-19,0.0685453654562126,112,0.0438388829752349,112,0.00265920634139027,NA,NA
"15809","39113",2020-07-19,0.067705114563381,2912,0.0399816481866269,2912,0.000539773833822442,450.71644347231,63.5039036391644
"15810","39115",2020-07-19,0.0775386735943854,105,0.0497967517370665,105,0.00340048892998472,136.532085039984,220.726189162344
"15811","39117",2020-07-19,0.0786805962931645,161,0.0402762232628017,161,0.00209951755740734,95.1375022597727,NA
"15812","39119",2020-07-19,0.0773458022125529,525,0.0390023640233286,525,0.00121596301948917,533.231961680569,NA
"15813","39121",2020-07-19,0.0817255512341819,84,0.0409174642989873,84,0.00331211989789877,NA,220.726189162344
"15814","39123",2020-07-19,0.08181067297091,301,0.0406981742278275,301,0.00174030564285015,48.8837135147862,NA
"15815","39125",2020-07-19,0.0742027015984331,119,0.0398451257352532,119,0.00252082186446801,130.78050217075,NA
"15816","39127",2020-07-19,0.0723809675495781,196,0.0426011158516048,196,0.00220754428120946,210.99930874966,NA
"15817","39129",2020-07-19,0.0797436626759434,252,0.0423991905827925,252,0.00189176053123791,337.169521881365,NA
"15818","39131",2020-07-19,0.074944837544683,154,0.03524311825469,154,0.00191046024578545,297.845893539863,NA
"15819","39133",2020-07-19,0.0709151517127654,699,0.0412265205680314,699,0.00118029988623455,270.524289134451,NA
"15820","39135",2020-07-19,0.0802856231221158,238,0.0376134322444452,238,0.00182572486627046,404.540898539792,NA
"15821","39137",2020-07-19,0.0854769684770966,189,0.0405760149829886,189,0.00221491094978222,57.8759525417189,NA
"15822","39139",2020-07-19,0.0702834193833614,665,0.0368323282208984,665,0.00106587664810398,425.262984902166,NA
"15823","39141",2020-07-19,0.0773548729376927,434,0.0397667852300721,434,0.00133798925258701,736.246321584416,NA
"15824","39143",2020-07-19,0.0751625637089995,413,0.0389226484736289,413,0.00132903593286225,248.626321887114,NA
"15825","39145",2020-07-19,0.0798465709364146,511,0.0419338054286912,511,0.00127380737226775,234.147166842052,NA
"15826","39147",2020-07-19,0.0770075440695043,399,0.0400760811230663,399,0.00153865854371775,73.6510882638557,NA
"15827","39149",2020-07-19,0.0850373586025185,273,0.0346455242388157,273,0.00150384953155678,442.107034700415,NA
"15828","39151",2020-07-19,0.072400566868151,1932,0.0399102386126192,1932,0.000658546196934291,367.525976869662,33.921302578019
"15829","39153",2020-07-19,0.0684524294308289,3156,0.0413441367966842,3156,0.000571330522263837,206.283189763195,16.923337282112
"15830","39155",2020-07-19,0.0693082763229518,1351,0.0419279999236739,1351,0.000831928459111886,234.988382151292,NA
"15831","39157",2020-07-19,0.0830226530048887,539,0.0411543428838913,539,0.00131369864369452,456.073647703973,NA
"15832","39159",2020-07-19,0.0755649464204507,203,0.0341286547869145,203,0.00147680614984309,477.410730382165,NA
"15833","39161",2020-07-19,0.0856646886453697,196,0.0407199110481478,196,0.00214232449437103,85.3927725884327,NA
"15834","39163",2020-07-19,0.0735066693302823,84,0.0423706932482657,84,0.00307629320080457,1.99137080556806,NA
"15835","39165",2020-07-19,0.0763009782704048,756,0.0377304332284569,756,0.000940547826007161,528.3818245286,8.95399437689153
"15836","39167",2020-07-19,0.0748323313462951,329,0.0423343509370981,329,0.00155448073304189,218.609099603771,85.3590647615513
"15837","39169",2020-07-19,0.0785623716337693,581,0.0400496138710516,581,0.0011865263109118,294.23936337662,NA
"15838","39171",2020-07-19,0.0742528821754634,252,0.0375447130275949,252,0.00171802444050931,43.6235149502256,NA
"15839","39173",2020-07-19,0.0752873452165996,615,0.0392119799819606,615,0.00115061659888411,253.069228518541,31.1098436730355
"15840","39175",2020-07-19,0.0817018140065699,154,0.0427695560016484,154,0.00263353751687188,NA,NA
"15841","39001",2020-07-20,0.0708530828298586,154,0.0395594503497386,154,0.00221201686580888,185.642128330991,NA
"15842","39003",2020-07-20,0.0714733344709811,642,0.0386258128564611,642,0.00114937023385812,429.262208241094,NA
"15843","39005",2020-07-20,0.0791116707205701,308,0.0397841042076172,308,0.00159729116641651,224.450866246646,NA
"15844","39007",2020-07-20,0.0649166466505481,651,0.0422801147478488,651,0.00124030452462379,113.940835257548,NA
"15845","39009",2020-07-20,0.0615464839721786,329,0.0395383883207034,329,0.00160910000075094,119.109871593748,NA
"15846","39011",2020-07-20,0.0745913851718796,287,0.0342601110845131,287,0.00145234257545067,155.388180562401,NA
"15847","39013",2020-07-20,0.0728217949089083,476,0.0420753236684892,476,0.00137507983816414,662.383972734377,NA
"15848","39015",2020-07-20,0.0809530990237312,224,0.0376978712251163,224,0.00190394536575882,361.488594191032,NA
"15849","39017",2020-07-20,0.0733910526017351,1861,0.040386660157674,1861,0.000666821411157114,434.479184904452,17.1548877675858
"15850","39019",2020-07-20,0.0764250174412644,175,0.0375617879458639,175,0.00215125632435917,0,NA
"15851","39021",2020-07-20,0.0746790213722143,238,0.0363901494618653,238,0.00181437189674486,25.1758084169508,NA
"15852","39023",2020-07-20,0.0694436313465495,952,0.0404396476496994,952,0.00100431173795233,385.015689117217,NA
"15853","39025",2020-07-20,0.0784126813603435,819,0.0398992612385299,819,0.00103948157249841,553.568642839334,NA
"15854","39027",2020-07-20,0.0763390446122815,224,0.0410171767237345,224,0.00196567403376435,427.523513793259,NA
"15855","39029",2020-07-20,0.0732926720696648,658,0.0408328886577148,658,0.00115479424296736,57.4893230599711,NA
"15856","39031",2020-07-20,0.0730967122266318,231,0.0369615075505047,231,0.00184532548194719,70.4523436401535,NA
"15857","39033",2020-07-20,0.0710878030075617,336,0.0411471080132447,336,0.00172463495742984,42.3355646491824,NA
"15858","39035",2020-07-20,0.0651519603883043,8088,0.0492675944291711,8088,0.000420088352451373,173.846340360434,22.9760933748435
"15859","39037",2020-07-20,0.0819918413225277,364,0.0397484464139281,364,0.00144146805788893,133.213341928837,NA
"15860","39039",2020-07-20,0.0761254224302738,252,0.0393170088754539,252,0.00184873516033646,296.81147053587,NA
"15861","39041",2020-07-20,0.0709679734062506,616,0.0326102541569721,616,0.000917286362193246,452.218233428969,72.0288115246098
"15862","39043",2020-07-20,0.0716611879010854,483,0.0384193081358162,483,0.00125514757809492,830.777198669878,NA
"15863","39045",2020-07-20,0.0745215538787958,657,0.0359102635629782,657,0.00100396682877772,475.755268245315,20.8717431384144
"15864","39047",2020-07-20,0.0752622752119002,182,0.0349037635019799,182,0.00183665670624054,467.906143109268,NA
"15865","39049",2020-07-20,0.0596407246717295,6187,0.0370205067112492,6187,0.000353520421430078,243.314750879656,20.7107890299983
"15866","39051",2020-07-20,0.0840980989480288,217,0.0425610079138153,217,0.00193497824034253,62.6891638251751,NA
"15867","39053",2020-07-20,0.0821046536388519,175,0.0459629469800969,175,0.00251770818137054,314.10591519297,NA
"15868","39055",2020-07-20,0.0759047094369856,448,0.048360117581555,448,0.00201142453858792,57.0211109053707,18.2605952954066
"15869","39057",2020-07-20,0.0743962459933067,777,0.0399823328644861,777,0.00107820447343926,451.191570764133,11.1898545318911
"15870","39059",2020-07-20,0.0718394073406117,245,0.0364264962729724,245,0.00170939247612528,552.241387894773,NA
"15871","39061",2020-07-20,0.0664831387021697,4855,0.0412425411192611,4855,0.000447118941177031,415.453350516743,90.679448150787
"15872","39063",2020-07-20,0.076305988415526,434,0.0369007122299585,434,0.00119979757047189,407.307670120783,NA
"15873","39065",2020-07-20,0.072016729037687,196,0.0402065108573032,196,0.00272773500119792,84.530853761623,NA
"15874","39067",2020-07-20,0.0676051207169841,119,0.0408767807550761,119,0.00295692708515501,1379.05096220147,NA
"15875","39069",2020-07-20,0.0854074170243179,189,0.0419906270912159,189,0.00209358829509943,2.6063875248718,NA
"15876","39071",2020-07-20,0.0755527566233244,245,0.0362119031163112,245,0.00163090437362289,260.042215394815,NA
"15877","39073",2020-07-20,0.0675299981610456,161,0.0406120986083982,161,0.00246115426509308,95.2578019235056,NA
"15878","39075",2020-07-20,0.088052222328271,161,0.0415856727989722,161,0.00198525936391931,71.1394288395876,NA
"15879","39077",2020-07-20,0.0727648290729236,336,0.0345823687040431,336,0.00133198144607301,97.535940120049,NA
"15880","39079",2020-07-20,0.0766472907604347,210,0.0395649742761531,210,0.00189007956275768,134.995815262032,NA
"15881","39081",2020-07-20,0.0669101864107596,469,0.0404906571312396,469,0.00137957756274197,460.29919447641,NA
"15882","39083",2020-07-20,0.0734023454206812,322,0.0368316466073073,322,0.00150838522607142,210.281209514931,NA
"15883","39085",2020-07-20,0.0732037276810529,1078,0.0419959627412434,1078,0.00100984010647178,184.238477358646,18.2605952954066
"15884","39087",2020-07-20,0.0741367998630953,399,0.0451487112858359,399,0.00159905111063321,141.98234226907,NA
"15885","39089",2020-07-20,0.0731453684837667,784,0.0369227368994745,784,0.000891852359209764,286.635510243591,20.8717431384144
"15886","39091",2020-07-20,0.0852297450858221,273,0.0337189656516508,273,0.00141539535005988,515.96432788829,NA
"15887","39093",2020-07-20,0.0637553335482592,1407,0.0380241231512405,1407,0.00072411312703236,170.077453928124,NA
"15888","39095",2020-07-20,0.0696156539840438,2779,0.0440074911655987,2779,0.000650185865056729,203.85177165749,65.2485971551612
"15889","39097",2020-07-20,0.0789775613012992,196,0.0386232257737724,196,0.00194066686741178,221.856580317262,17.9932607059901
"15890","39099",2020-07-20,0.072318251802829,1512,0.0447475323038655,1512,0.000882236207012877,305.232599259599,NA
"15891","39101",2020-07-20,0.0670172895299591,392,0.0345270354132002,392,0.00114755916917393,220.038413485744,NA
"15892","39103",2020-07-20,0.070615084202249,770,0.0385371505797832,770,0.00093868849339587,154.846395420928,NA
"15893","39105",2020-07-20,0.0807092517380149,161,0.0435693065281591,161,0.00236450346253286,13.1354262445816,NA
"15894","39107",2020-07-20,0.0878170721477424,231,0.0377615514791072,231,0.00176056651832373,63.0888127805842,NA
"15895","39109",2020-07-20,0.079478471983501,602,0.0389233841220785,602,0.00109072428608194,397.417478920591,NA
